name,long_name,name_odessa,unit,domain,strategy,dimension
T_gas_secondar_volume,gas temperature,T_gas,[K],secondar_volume,secondar_volume_ther,volume
x_alfa_secondar_volume,void fraction,x_alfa,[-],secondar_volume,secondar_volume_ther,volume
P_steam_secondar_volume,steam partial pressure,P_steam,[Pa],secondar_volume,secondar_volume_ther,volume
P_H2_secondar_volume,hydrogen partial pressure,P_h2,[Pa],secondar_volume,secondar_volume_ther,volume
P_secondar_volume,total pressure,P,[Pa],secondar_volume,secondar_volume_ther,volume
m_steam_secondar_volume,mass of steam,m_steam,[kg],secondar_volume,secondar_volume_ther,volume
rho_gas_secondar_volume,density of gaseous mixture,rho_gas,[kg/m3],secondar_volume,secondar_volume_ther,volume
m_liq_secondar_volume,mass of liquid,m_liq,[kg],secondar_volume,secondar_volume_ther,volume
T_sat_secondar_volume,saturation temperature,T_sat,[K],secondar_volume,secondar_volume_ther,volume
x_alfa1_secondar_volume,void fraction of the mixture in the swollen sub-volume of the volume,x_alfa1,[-],secondar_volume,secondar_volume_ther,volume
rho_liq_secondar_volume,liquid density,rho_liq,[kg/m3],secondar_volume,secondar_volume_ther,volume
T_liq_secondar_volume,liquid temperature,T_liq,[K],secondar_volume,secondar_volume_ther,volume
